category,product_name,product_url,price,old_price,discount,reviews,rating,price_drop,discount_pct,popularity_score
phones,[World Premiere]New Zeblaze GTS 3 Pro Ultra-big HD 415*505pixels AMOLED Screen HiFi Bluetooth Phone Calls Health and Fitness Tracking Smart Watch,https://www.banggood.com/World-PremiereNew-Zeblaze-GTS-3-Pro-Ultra-big-HD-415+505pixels-AMOLED-Screen-HiFi-Bluetooth-Phone-Calls-Health-and-Fitness-Tracking-Smart-Watch-p-1999844.html?cur_warehouse=CN&ID=6325233&rmmds=search,7.73,38.7,80,500,4.77,30.970000000000002,80.03,2385.0
phones,[2024 World Premiere]Zeblaze Stratos 3 Pro 1.43 inch HD AMOLED Display Built-in GPS & Route Import bluetooth Phone Calls Smart Watch,https://www.banggood.com/2024-World-PremiereZeblaze-Stratos-3-Pro-1_43-inch-HD-AMOLED-Display-Built-in-GPS-and-Route-Import-bluetooth-Phone-Calls-Smart-Watch-p-2008946.html?cur_warehouse=CN&ID=224&rmmds=search,54.18,69.67,22,129,4.74,15.490000000000002,22.23,611.46
phones,Astrolux® BL06 3+3 LEDs 2000LM Bike Headlight Dual Distance Beam 10000mAh Phone Power Bank Bike Light USB Rechargeable LED Handlebar Flashlight for Electric Bike Electric Scooter MTB Bicycle,https://www.banggood.com/Astrolux-BL06-3+3-LEDs-2000LM-Bike-Headlight-Dual-Distance-Beam-10000mAh-Phone-Power-Bank-Bike-Light-USB-Rechargeable-LED-Handlebar-Flashlight-for-Electric-Bike-Electric-Scooter-MTB-Bicycle-p-1975188.html?cur_warehouse=CN&ID=6321121&rmmds=search,30.96,61.93,50,70,4.91,30.97,50.01,343.7
phones,MS6818 Portable Professional 12-400V AC/DC Wire Network Telephone Cable Tester Tracker,https://www.banggood.com/MS6818-Portable-Professional-12-400V-AC-or-DC-Wire-Network-Telephone-Cable-Tester-Tracker-p-911482.html?cur_warehouse=CN&rmmds=search,102.96,170.31,40,96,4.85,67.35000000000001,39.55,465.59999999999997
phones,JM-8192 Multi-Functional 180-in-1 Precision Screwdriver Tool Set Chrome Vanadium Bits Stripped Screw Extractors Mobile Phone Repair DIY Tools Home Improvement,https://www.banggood.com/JM-8192-Multi-Functional-180-in-1-Precision-Screwdriver-Tool-Set-Chrome-Vanadium-Bits-Stripped-Screw-Extractors-Mobile-Phone-Repair-DIY-Tools-Home-Improvement-p-1997351.html?cur_warehouse=CN&rmmds=search,23.22,38.7,40,47,4.98,15.480000000000004,40.0,234.06000000000003
phones,[2023 World Premiere]NEW Zeblaze GTS 3 Ultra-large 2.03 inch HD Display Voice Calling HiFi bluetooth Phone Calls Health and Fitness Tracking Smart Watch,https://www.banggood.com/2023-World-PremiereNEW-Zeblaze-GTS-3-Ultra-large-2_03-inch-HD-Display-Voice-Calling-HiFi-bluetooth-Phone-Calls-Health-and-Fitness-Tracking-Smart-Watch-p-2003655.html?cur_warehouse=CN&ID=6287830&rmmds=search,12.07,54.18,78,291,4.71,42.11,77.72,1370.61
phones,[2023 World Premiere]New Zeblaze GTS 3 Plus 2.15 inch Ultra-large 415*505pixels HD AMOLED 24H Heart Rate SpO2 Hifi bluetooth Phone Call BT5.2 Smart Watch,https://www.banggood.com/2023-World-PremiereNew-Zeblaze-GTS-3-Plus-2_15-inch-Ultra-large-415+505pixels-HD-AMOLED-24H-Heart-Rate-SpO2-Hifi-bluetooth-Phone-Call-BT5_2-Smart-Watch-p-2004147.html?cur_warehouse=CN&ID=6325233&rmmds=search,38.7,61.93,38,169,4.78,23.229999999999997,37.51,807.82
phones,LOKMAT APPLLP 4 MAX 4G Android Smart Watch Phone 2.02 inch HD Screen GPS WIFI Heart Rate SpO2 Monitor Sleep Monitoring Multi-sport Modes Music Playback SOS Dual Camera,https://www.banggood.com/LOKMAT-APPLLP-4-MAX-4G-Android-Smart-Watch-Phone-2_02-inch-HD-Screen-GPS-WIFI-Heart-Rate-SpO2-Monitor-Sleep-Monitoring-Multi-sport-Modes-Music-Playback-SOS-Dual-Camera-p-1999555.html?cur_warehouse=CN&ID=62633666287830&rmmds=search,55.73,193.53,71,26,4.42,137.8,71.2,114.92
phones,Handskit T12 220V High-Power Cell Phone Repair Tweezer Soldering Station Smd Capacitor Resistor Repair Soldering Station STM32 Chip With Euro Gauge Power Cord,https://www.banggood.com/Handskit-T12-220V-High-Power-Cell-Phone-Repair-Tweezer-Soldering-Station-Smd-Capacitor-Resistor-Repair-Soldering-Station-STM32-Chip-With-Euro-Gauge-Power-Cord-p-1974728.html?cur_warehouse=CN&ID=6321256&rmmds=search,60.41,76.63,21,38,4.76,16.22,21.17,180.88
phones,TOKQI M01 3-Axis Gimbal Stabilizer with Filling Light Anti-shake Handheld Smartphone Gimbal with Foldable Tripod for Vlogging Taking Photo Mobile Phone,https://www.banggood.com/TOKQI-M01-3-Axis-Gimbal-Stabilizer-with-Filling-Light-Anti-shake-Handheld-Smartphone-Gimbal-with-Foldable-Tripod-for-Vlogging-Taking-Photo-Mobile-Phone-p-2005130.html?cur_warehouse=CN&rmmds=search,41.8,51.86,19,5,5.0,10.060000000000002,19.4,25.0
